GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,DRP
IND02388,2014-01-10,8.4,0.0966,0.378324,0.423694
IND02388,2014-01-11,8.52,0.0828,0.364312,0.41336
IND02388,2014-01-12,8.53,0.0,0.378324,0.444362
IND02388,2014-02-06,8.39,0.0,0.406348,0.475364
IND02388,2015-01-01,8.35,0.0,0.476408,0.227348
IND02388,2015-01-04,8.92,0.0276,0.49042,0.299686
IND02388,2015-01-05,9.11,0.0276,0.476408,0.330688
IND02388,2015-01-06,8.81,0.0414,0.49042,0.341022
IND02388,2015-01-07,8.32,0.0414,0.434372,0.289352
IND02388,2015-01-08,8.08,0.0414,0.476408,0.279018
IND02388,2015-01-09,8.12,0.0138,0.434372,0.25835
IND02388,2015-01-10,8.35,0.0414,0.462396,0.279018
IND02388,2015-01-12,8.36,0.0552,0.462396,0.320354
IND02388,2015-02-02,8.2,0.0,0.49042,0.341022
IND02388,2015-02-03,8.37,0.0,0.476408,0.25835
IND02388,2015-02-11,8.3,0.0552,0.49042,0.320354
IND02388,2016-01-01,8.26,0.0552,0.504432,0.351356
IND02388,2016-01-02,8.1,0.0552,0.476408,0.36169
IND02388,2016-01-03,8.31,0.0276,0.434372,0.36169
IND02388,2016-01-04,7.88,0.069,0.434372,0.382358
IND02388,2016-02-05,8.19,0.2208,0.49042,0.454696
IND02390,2010-10-01,6.95,0.014,0.215,0.012
IND02390,2010-12-01,7.0,0.048,0.156,0.132
IND02390,2011-02-01,7.1,0.075,0.041,0.295
IND02390,2011-08-01,7.9,0.124,0.232,0.07
IND02390,2012-04-02,6.8,0.144,4.55,0.75
IND02390,2012-10-01,7.8,0.712,7.6,0.161
IND02390,2013-04-01,7.25,0.265,7.2,0.16
IND02390,2013-06-01,6.95,0.167,0.581,0.18
IND02390,2013-08-01,6.83,0.126,0.485,0.17
IND02390,2013-10-01,7.1,0.065,0.455,0.009
IND02390,2014-02-01,7.45,0.018,2.26,0.01
IND02390,2014-04-01,7.0,0.141,10.4,0.1
IND02390,2021-06-11,7.21,0.0,0.78,0.14
IND02390,2021-06-21,7.35,0.0,0.75,0.17
IND02390,2021-07-01,7.1,0.0,0.89,0.04
IND02390,2021-07-12,6.97,0.0,0.71,0.03
IND02390,2021-07-22,7.21,0.0,0.88,0.11
IND02390,2021-08-02,7.14,0.01,0.9,0.28
IND02390,2021-08-11,7.02,0.01,0.84,0.27
IND02390,2021-08-23,6.9,0.01,0.36,0.22
IND02390,2021-09-01,6.96,0.01,1.14,0.25
IND02390,2021-09-13,6.7,1.01,1.1,0.19
IND02390,2021-09-29,6.95,0.0,1.1,0.17
IND02392,1990-06-11,8.2,0.01,0.42,0.03
IND02392,1990-06-21,8.35,0.03,0.56,0.04
IND02392,1990-07-02,8.4,0.04,0.84,0.11
IND02392,1990-08-11,8.1,0.11,0.07,0.05
IND02392,1990-09-11,8.05,0.01,0.84,0.06
IND02392,1990-09-21,8.2,0.0,0.7,0.03
IND02392,1990-10-01,8.3,0.0,0.56,0.01
IND02392,1990-10-11,8.0,0.0,0.56,0.03
IND02392,1990-10-22,8.35,0.0,1.54,0.02
IND02392,1990-11-12,8.2,0.02,0.98,0.07
IND02392,1990-12-01,8.35,0.0,0.84,0.01
IND02392,1990-12-11,7.8,0.01,9.66,0.01
IND02392,1990-12-21,8.3,0.0,0.7,0.07
IND02392,1991-01-01,8.4,0.0,0.7,0.01
IND02392,1991-01-14,8.55,0.01,5.04,0.01
IND02392,1991-01-21,8.2,0.01,0.42,0.03
IND02392,1991-02-01,8.45,0.0,0.14,0.02
IND02392,1991-02-11,8.35,0.0,0.14,0.01
IND02392,1991-02-21,8.35,0.0,0.14,0.02
IND02392,1991-03-04,8.35,0.0,0.14,0.02
IND02392,1991-03-11,8.35,0.01,1.68,0.01
IND02392,1991-03-21,8.35,0.01,0.14,0.01
IND02392,1991-04-01,8.45,0.0,0.14,0.02
IND02392,1991-04-11,8.4,0.01,0.14,0.03
IND02392,1991-05-13,8.5,0.0,0.14,0.03
IND02392,1991-05-21,8.5,0.0,1.12,0.02
IND02392,1991-06-03,8.5,0.01,4.34,0.02
IND02392,1991-06-11,8.2,0.03,0.7,0.06
IND02392,1991-06-21,8.25,0.01,0.56,0.06
IND02392,1991-07-01,8.8,0.03,0.42,0.03
IND02392,1991-07-11,8.2,0.0,0.56,0.06
IND02392,1991-07-24,8.2,0.0,1.4,0.07
IND02392,1991-08-01,8.1,0.0,1.26,0.03
IND02392,1991-08-12,8.2,0.0,0.84,0.21
IND02392,1991-08-21,8.2,0.0,0.7,0.18
IND02392,1991-09-03,8.2,0.01,6.2,0.03
IND02392,1991-09-12,8.6,0.01,0.3,0.03
IND02392,1991-10-03,8.35,0.03,0.28,0.02
IND02392,1991-10-14,8.5,0.0,0.14,0.01
IND02392,1991-10-21,7.95,0.01,0.56,0.01
IND02392,1991-11-01,8.35,0.03,0.7,0.06
IND02392,1991-11-11,8.35,0.0,0.14,0.02
IND02392,1991-12-11,8.2,0.01,0.28,0.05
IND02392,1991-12-23,8.0,0.04,0.28,0.01
IND02392,1992-01-13,8.3,0.0,0.28,0.02
IND02392,1992-01-21,8.1,0.01,0.14,0.01
IND02392,1992-02-03,8.1,0.03,0.14,0.01
IND02392,1992-02-11,8.2,0.07,0.7,0.01
IND02392,1992-02-21,7.9,0.01,0.14,0.01
IND02392,1992-03-02,8.45,0.0,3.8,0.06
IND02392,1992-03-11,8.3,0.0,0.14,0.03
IND02392,1992-03-23,8.2,0.0,0.43,0.06
IND02392,1992-04-01,8.0,0.0,0.14,0.03
IND02392,1992-04-13,8.25,0.0,0.14,0.05
IND02392,1992-05-01,8.05,0.01,0.28,0.02
IND02392,1992-05-11,8.25,0.01,0.14,0.06
IND02392,1992-05-21,8.2,0.0,0.14,0.01
IND02392,1992-06-01,8.3,0.0,0.14,0.06
IND02392,1992-06-11,8.25,0.0,0.14,0.03
IND02392,1992-06-22,8.3,0.03,0.7,0.08
IND02392,1992-07-01,8.354,0.03,0.56,0.26
IND02392,1992-07-13,8.2,0.01,0.56,0.06
IND02392,1992-07-21,8.2,0.01,0.14,0.11
IND02392,1992-08-03,7.9,0.0,0.56,0.19
IND02392,1992-08-11,8.05,0.01,0.56,0.04
IND02392,1992-09-01,8.1,0.0,0.84,0.07
IND02392,1992-09-14,7.9,0.0,0.56,0.04
IND02392,1992-10-06,8.25,0.0,0.28,0.02
IND02392,1992-10-12,8.2,0.0,0.7,0.03
IND02392,1992-10-21,8.2,0.0,0.56,0.04
IND02392,1992-11-11,8.35,0.01,0.28,0.01
IND02392,1992-12-01,8.3,0.0,0.7,0.01
IND02392,1993-01-01,8.45,0.0,0.28,0.01
IND02392,1993-01-11,8.25,0.0,0.42,0.02
IND02392,1993-01-21,8.35,0.0,0.14,0.02
IND02392,1993-02-01,8.4,0.0,0.28,0.02
IND02392,1993-02-11,8.35,0.0,0.28,0.02
IND02392,1993-02-22,8.35,0.0,0.28,0.05
IND02392,1993-03-01,8.3,0.01,0.28,0.04
IND02392,1993-03-11,8.35,0.0,0.28,0.03
IND02392,1993-03-22,8.35,0.01,0.14,0.02
IND02392,1993-04-02,8.35,0.0,0.28,0.07
IND02392,1993-04-12,8.3,0.0,0.42,0.01
IND02392,1993-04-21,8.4,0.01,0.28,0.03
IND02392,1993-05-03,8.2,0.0,0.28,0.02
IND02392,1993-05-21,8.3,0.0,1.82,0.02
IND02392,1993-06-01,8.35,0.01,0.14,0.03
IND02392,1993-07-02,7.95,0.0,0.14,0.01
IND02392,1993-07-12,8.2,0.01,0.7,0.02
IND02392,1993-07-21,8.0,0.01,0.7,0.02
IND02392,1993-08-02,7.9,0.01,1.12,0.01
IND02392,1993-08-11,8.35,0.0,0.42,0.01
IND02392,1993-08-23,8.05,0.01,0.42,0.02
IND02392,1993-09-13,8.1,0.01,0.56,0.03
IND02392,1993-09-21,8.35,0.0,0.42,0.03
IND02392,1993-10-04,8.2,0.0,0.42,0.03
IND02392,1993-10-11,8.3,0.01,0.42,0.02
IND02392,1993-10-25,8.05,0.0,0.42,0.05
IND02392,1993-11-01,8.5,0.0,0.14,0.01
IND02392,1993-11-22,8.35,0.0,0.42,0.02
IND02392,1993-12-21,8.05,0.01,0.28,0.01
IND02392,1994-01-03,8.25,0.0,0.14,0.01
IND02392,1994-01-11,8.2,0.01,0.14,0.02
IND02392,1994-01-25,8.2,0.01,0.14,0.01
IND02392,1994-02-14,8.25,0.0,0.14,0.01
IND02392,1994-02-21,8.2,0.0,0.14,0.01
IND02392,1994-03-15,7.9,0.01,0.42,0.05
IND02392,1994-04-11,8.3,0.0,0.28,0.03
IND02392,1994-04-21,8.1,0.0,0.14,0.03
IND02392,1994-05-02,8.3,0.01,0.14,0.02
IND02392,1994-05-11,8.2,0.01,0.27,0.03
IND02392,1994-05-23,8.2,0.0,0.14,0.03
IND02392,1994-06-01,8.5,0.0,0.28,0.0103
IND02392,1994-06-13,8.2,0.014,0.56,0.0103
IND02392,1994-06-21,8.0,0.028,0.98,0.0515
IND02392,1994-07-01,7.9,0.014,0.98,0.0515
IND02392,1994-07-11,8.0,0.0,0.42,0.0515
IND02392,1994-08-01,7.8,0.014,0.98,0.0824
IND02392,1994-08-11,6.8,0.0,0.42,0.0309
IND02392,1994-09-12,7.75,0.014,0.56,0.0412
IND02392,1994-09-21,8.0,0.014,1.358,0.0206
IND02392,1994-10-03,8.4,0.014,0.7,0.0309
IND02392,1994-10-11,8.0,0.0,0.7,0.1339
IND02392,1994-10-21,8.3,0.014,0.84,0.0721
IND02392,1994-11-01,8.5,0.0,0.7,0.0
IND02392,1994-11-14,8.4,0.014,0.84,0.0309
IND02392,1994-11-21,8.3,0.0,0.84,0.0412
IND02392,1994-12-01,8.2,0.014,0.98,0.0309
IND02392,1994-12-12,8.3,0.014,0.84,0.0309
IND02392,1994-12-21,8.5,0.028,0.7,0.0206
IND02392,1995-01-02,8.3,0.014,0.84,0.0103
IND02392,1995-01-11,8.2,0.014,0.7,0.0412
IND02392,1995-01-23,8.2,0.014,1.82,0.0206
IND02392,1995-02-01,7.4,0.028,2.94,0.0618
IND02392,1995-02-13,8.2,0.014,2.66,0.0721
IND02392,1995-02-21,8.2,0.0,0.42,0.0515
IND02392,1995-03-01,8.2,0.028,1.68,0.0515
IND02392,1995-03-13,8.2,0.014,0.28,0.0206
IND02392,1995-03-21,8.2,0.0,1.54,0.0515
IND02392,1995-04-03,8.2,0.0,0.28,0.0412
IND02392,1995-04-11,8.2,0.014,1.54,0.0618
IND02392,1995-04-21,7.9,0.0,0.56,0.1854
IND02392,1995-05-01,8.1,0.0,0.42,0.0721
IND02392,1995-05-15,8.0,0.014,1.26,0.0515
IND02392,1995-05-22,8.2,0.014,1.12,0.0412
IND02392,1995-06-01,8.5,0.0,0.28,0.14
IND02392,1995-06-12,8.3,0.01,0.56,0.03
IND02392,1995-06-21,8.2,0.01,0.7,0.03
IND02392,1995-07-03,8.1,0.01,1.12,0.03
IND02392,1995-07-11,8.1,0.01,0.84,0.06
IND02392,1995-07-21,8.2,0.01,0.7,0.05
IND02392,1995-08-01,8.0,0.01,0.42,0.06
IND02392,1995-08-16,8.1,0.01,0.56,0.03
IND02392,1995-08-21,8.1,0.0,0.42,0.03
IND02392,1995-09-01,8.1,0.03,2.91,0.09
IND02392,1995-09-11,8.1,0.01,0.98,0.03
IND02392,1995-09-21,8.1,0.0,0.84,0.03
IND02392,1995-10-04,8.3,0.01,0.28,0.07
IND02392,1995-10-11,8.3,0.0,0.28,0.08
IND02392,1995-10-24,8.2,0.01,0.7,0.03
IND02392,1995-11-01,8.2,0.0,0.84,0.05
IND02392,1995-12-01,8.1,0.01,0.98,0.02
IND02392,1995-12-11,8.2,0.01,0.98,0.02
IND02392,1995-12-21,8.2,0.01,0.7,0.04
IND02392,1996-01-01,8.2,0.01,0.7,0.01
IND02392,1996-02-01,8.1,0.01,0.42,0.06
IND02392,1996-02-22,8.2,0.0,0.28,0.01
IND02392,1996-03-11,8.1,0.0,0.14,0.01
IND02392,1996-03-21,8.2,0.0,0.14,0.01
IND02392,1996-04-22,8.2,0.01,1.26,0.03
IND02392,1996-05-06,8.2,0.0,0.28,0.03
IND02392,1996-05-21,8.1,0.0,0.42,0.03
IND02392,1996-06-21,8.1,0.03,0.7,0.03
IND02392,1996-07-01,8.1,0.0,0.56,0.11
IND02392,1996-07-11,8.3,0.01,0.42,0.05
IND02392,1996-08-01,7.6,0.0,0.98,0.09
IND02392,1996-08-21,7.9,0.03,0.98,0.03
IND02392,1996-09-02,7.9,0.01,0.84,0.02
IND02392,1996-09-11,7.6,0.01,0.7,0.03
IND02392,1996-09-23,8.2,0.0,1.54,0.03
IND02392,1996-10-14,8.1,0.01,0.98,0.02
IND02392,1996-10-22,8.2,0.01,0.7,0.01
IND02392,1996-11-11,8.2,0.0,0.7,0.02
IND02392,1996-12-11,8.3,0.01,0.98,0.01
IND02392,1996-12-23,8.2,0.01,0.42,0.01
IND02392,1997-02-03,8.2,0.0,0.28,0.01
IND02392,1997-03-03,8.2,0.0,0.98,0.03
IND02392,1997-04-21,8.6,0.01,0.7,0.04
IND02392,1997-05-01,8.5,0.0,0.42,0.07
IND02392,1997-06-11,8.4,0.02,0.7,0.03
IND02392,1997-06-23,8.3,0.0,0.56,0.05
IND02392,1997-08-01,8.2,0.0,0.13,0.03
IND02392,1997-08-11,8.0,0.03,0.84,0.01
IND02392,1997-08-21,8.3,0.03,0.56,0.03
IND02392,1997-09-01,8.1,0.03,0.84,0.06
IND02392,1997-09-11,8.7,0.0,0.7,0.04
IND02392,1997-10-03,8.2,0.02,0.7,0.04
IND02392,1997-10-13,8.2,0.03,0.27,0.06
IND02392,1997-11-03,8.1,0.02,0.84,0.1
IND02392,1997-11-11,7.7,0.03,0.93,0.02
IND02392,1997-11-21,8.1,0.02,0.41,0.03
IND02392,1997-12-01,8.1,0.02,0.54,0.08
IND02392,1997-12-11,8.3,0.02,0.81,0.05
IND02392,1997-12-22,8.4,0.0,0.56,0.03
IND02392,1998-01-21,8.5,0.02,0.7,0.13
IND02392,1998-02-02,8.5,0.0,0.27,0.23
IND02392,1998-02-23,8.3,0.02,0.29,0.08
IND02392,1998-03-02,8.3,0.02,0.27,0.05
IND02392,1998-03-11,8.4,0.0,0.27,0.13
IND02392,1998-03-23,8.4,0.02,0.01,0.29
IND02392,1998-04-01,8.5,0.03,0.01,0.02
IND02392,1998-07-01,8.2,0.0,0.56,0.01
IND02392,1998-07-13,8.2,0.0,0.84,0.22
IND02392,1998-07-21,8.2,0.02,0.97,0.02
IND02392,1998-08-03,8.3,0.0,0.84,0.07
IND02392,1998-08-11,8.0,0.03,0.7,0.1
IND02392,1998-08-21,8.0,0.0,0.7,0.09
IND02392,1998-09-01,8.0,0.02,0.7,0.02
IND02392,1998-09-14,8.4,0.05,0.56,0.06
IND02392,1998-09-21,8.0,0.05,1.4,0.06
IND02392,1998-10-05,8.4,0.0,1.4,0.04
IND02392,1998-10-21,8.0,0.0,0.97,0.02
IND02392,1998-11-11,8.4,0.02,0.84,0.01
IND02392,1998-12-14,8.3,0.05,0.84,0.01
IND02392,1999-02-01,8.4,0.0,0.27,0.01
IND02392,1999-03-03,8.7,0.0,0.27,0.01
IND02392,1999-03-11,8.3,0.02,0.43,0.07
IND02392,1999-03-22,8.3,0.05,0.7,0.06
IND02392,1999-04-05,8.2,0.0,0.43,0.04
IND02392,1999-04-12,8.3,0.02,0.32,0.01
IND02392,1999-04-21,8.2,0.02,0.23,0.05
IND02392,1999-07-01,8.2,0.02,1.13,0.01
IND02392,1999-08-02,8.2,0.02,0.97,0.02
IND02392,1999-10-04,8.0,0.02,0.56,0.01
IND02392,1999-10-24,8.5,0.02,0.97,0.02
IND02392,1999-11-01,8.6,0.02,1.4,0.01
IND02392,1999-11-11,8.6,0.02,1.26,0.01
IND02392,1999-11-24,8.4,0.02,0.84,0.02
IND02392,1999-12-01,8.3,0.03,0.84,0.02
IND02392,2000-01-11,8.7,0.0,0.27,0.01
IND02392,2000-03-01,8.7,0.0,0.27,0.04
IND02392,2000-03-13,8.6,0.02,0.27,0.02
IND02392,2000-06-12,8.4,0.02,0.84,0.02
IND02392,2000-06-21,8.3,0.02,1.13,0.02
IND02392,2000-07-11,8.4,0.02,0.56,0.02
IND02392,2000-08-01,8.2,0.02,0.56,0.01
IND02392,2000-08-11,8.2,0.02,0.56,0.03
IND02392,2000-09-04,8.2,0.02,0.7,0.02
IND02392,2000-11-01,8.1,0.02,0.7,0.02
IND02392,2000-11-13,8.4,0.0,0.27,0.02
IND02392,2000-12-11,8.2,0.03,0.43,0.05
IND02392,2001-01-22,8.5,0.0,0.18,0.02
IND02392,2001-03-21,8.4,0.0,0.14,0.02
IND02392,2001-04-02,8.4,0.0,0.27,0.04
IND02392,2001-04-11,8.5,0.0,0.27,0.13
IND02392,2001-04-23,8.2,0.02,0.7,0.02
IND02392,2001-05-01,8.2,0.02,0.43,0.04
IND02392,2001-05-14,8.4,0.02,0.27,0.03
IND02392,2001-05-21,8.4,0.02,0.43,0.04
IND02392,2001-06-01,8.5,0.02,0.43,0.02
IND02392,2001-06-11,8.1,0.0,0.43,0.05
IND02392,2001-06-21,8.0,0.02,1.26,0.03
IND02392,2001-07-02,8.4,0.02,0.56,0.04
IND02392,2001-07-11,8.2,0.02,0.56,0.03
IND02392,2001-07-23,8.2,0.03,0.56,0.05
IND02392,2001-08-01,8.1,0.02,0.56,0.08
IND02392,2001-08-13,8.0,0.0,0.84,0.05
IND02392,2001-08-23,8.2,0.0,0.84,0.07
IND02392,2001-09-03,8.1,0.0,1.13,0.08
IND02392,2001-09-11,8.2,0.0,0.97,0.05
IND02392,2001-09-21,8.2,0.02,0.97,0.03
IND02392,2001-10-11,8.1,0.02,0.7,0.02
IND02392,2001-10-22,8.6,0.0,0.84,0.01
IND02392,2001-11-01,8.0,0.02,0.56,0.02
IND02392,2001-11-21,8.5,0.0,0.7,0.01
IND02392,2001-12-03,8.3,0.0,0.7,0.02
IND02392,2001-12-11,8.4,0.0,0.43,0.02
IND02392,2002-01-01,8.8,0.0,0.14,0.02
IND02392,2002-01-14,8.5,0.0,0.14,0.01
IND02392,2002-02-21,8.4,0.02,0.14,0.03
IND02392,2002-03-21,8.5,0.02,0.14,0.03
IND02392,2002-04-01,8.4,0.02,0.27,0.01
IND02392,2002-04-11,8.6,0.02,0.27,0.02
IND02392,2002-04-22,8.4,0.02,0.27,0.02
IND02392,2002-05-01,8.3,0.0,0.27,0.04
IND02392,2002-05-13,8.5,0.03,0.14,0.01
IND02392,2002-05-21,8.3,0.0,0.14,0.02
IND02392,2002-06-03,8.6,0.05,0.27,0.04
IND02392,2002-07-01,8.1,0.03,1.13,0.01
IND02392,2002-08-01,8.2,0.03,1.26,0.02
IND02392,2002-09-02,8.0,0.03,0.56,0.01
IND02392,2002-10-03,8.5,0.02,0.7,0.01
IND02392,2002-11-01,8.5,0.02,0.43,0.01
IND02392,2002-12-02,8.2,0.02,0.56,0.01
IND02392,2003-01-01,8.4,0.03,0.14,0.01
IND02392,2003-02-03,8.2,0.0,0.14,0.01
IND02392,2003-03-03,8.2,0.0,0.14,0.24
IND02392,2003-04-03,7.9,0.02,0.14,0.02
IND02392,2003-05-01,8.4,0.05,0.27,0.04
IND02392,2003-06-02,8.2,0.027,0.14,0.04
IND02392,2003-07-01,8.2,0.0,0.43,0.03
IND02392,2003-08-01,8.2,0.015,0.56,0.01
IND02392,2003-09-01,8.1,0.027,0.84,0.01
IND02392,2003-09-30,8.3,0.015,0.56,0.01
IND02392,2003-11-03,8.5,0.015,0.7,0.01
IND02392,2004-01-01,8.6,0.043,0.14,0.01
IND02392,2004-02-03,8.4,0.015,0.27,0.02
IND02392,2004-03-03,8.4,0.015,0.27,0.029
IND02392,2004-04-01,8.4,0.015,0.43,0.01
IND02392,2004-04-30,8.4,0.0,0.27,0.01
IND02392,2004-06-01,8.7,0.0,0.482236,0.01
IND02392,2004-07-01,8.5,0.0357866,0.964472,0.0492503
IND02392,2004-08-02,6.2,0.10736,1.92894,0.0492503
IND02392,2004-09-01,8.4,0.143146,2.41118,0.172376
IND02392,2004-09-30,8.5,0.0715732,0.482236,0.172376
IND02392,2004-11-01,8.2,0.0357866,0.482236,0.0985006
IND02392,2004-12-01,8.9,0.0357866,0.482236,0.147751
IND02392,2005-01-03,8.8,0.0715732,0.482236,0.197001
IND02392,2005-02-01,8.5,0.286293,2.41118,0.147751
IND02392,2005-03-01,8.7,0.0357866,0.482236,0.0985006
IND02392,2005-04-01,8.5,0.214719,0.964472,0.123126
IND02392,2005-05-02,8.7,0.250506,0.964472,0.147751
IND02392,2005-07-01,8.1,0.0828,1.54132,0.020668
IND02392,2005-08-01,8.4,0.0138,0.98084,0.0
IND02392,2005-09-01,8.6,0.0,0.84072,0.0
IND02392,2005-10-03,8.7,0.0276,0.28024,0.010334
IND02392,2005-11-02,8.3,0.0138,0.28024,0.010334
IND02392,2005-12-01,8.7,0.0414,2.24192,0.010334
IND02392,2006-01-02,8.6,0.0,0.28024,0.020668
IND02392,2006-02-01,8.6,0.0138,0.42036,0.041336
IND02392,2006-03-01,8.7,0.0,0.14012,0.0
IND02392,2006-04-03,8.7,0.0276,0.28024,0.041336
IND02392,2006-05-01,8.6,0.0138,0.42036,0.041336
IND02392,2006-06-01,8.6,0.0138,0.28024,0.010334
IND02392,2006-07-03,8.4,0.0276,0.7006,0.041336
IND02392,2006-08-01,8.0,0.1104,0.98084,0.093006
IND02392,2006-09-01,8.4,0.0414,1.26108,0.010334
IND02392,2006-10-03,8.2,0.0276,1.26108,0.041336
IND02392,2006-11-01,8.5,0.1518,0.84072,0.031002
IND02392,2006-12-01,8.7,0.0276,0.56048,0.020668
IND02392,2007-01-02,8.6,0.0276,0.28024,0.020668
IND02392,2007-02-01,8.5,0.0828,0.42036,0.062004
IND02392,2007-03-01,8.3,0.0414,0.42036,0.041336
IND02392,2007-04-02,8.7,0.0276,0.98084,0.05167
IND02392,2007-05-03,8.4,0.0138,0.56048,0.113674
IND02392,2007-06-01,8.53,0.0,0.42036,0.05167
IND02392,2007-07-02,8.5,0.138,0.98084,0.082672
IND02392,2007-08-01,8.3,0.0966,1.82156,0.031002
IND02392,2007-09-05,8.3,0.0414,1.26108,0.072338
IND02392,2007-10-03,8.2,0.069,1.54132,0.072338
IND02392,2007-11-01,8.7,0.0966,0.98084,0.041336
IND02392,2007-12-03,8.8,0.0138,0.42036,0.041336
IND02392,2008-01-01,8.6,0.0138,0.98084,0.05167
IND02392,2008-02-01,8.6,0.0138,0.14012,0.031002
IND02392,2008-03-03,8.7,0.0414,0.14012,0.031002
IND02392,2008-04-01,8.4,0.0276,0.14012,0.62004
IND02392,2008-05-01,8.8,0.0276,0.14012,0.031002
IND02392,2008-06-02,8.6,0.0138,0.42036,0.05167
IND02392,2008-07-01,8.2,0.4002,0.56048,0.237682
IND02392,2008-08-01,8.18,0.0828,0.07006,0.093006
IND02392,2008-09-01,8.4,0.0276,1.26108,0.041336
IND02392,2008-10-03,8.5,0.0138,0.14012,0.010334
IND02392,2008-11-03,8.0,0.0138,0.182156,0.020668
IND02392,2008-12-01,8.5,0.0,0.182156,0.041336
IND02392,2009-01-01,8.6,0.0138,0.056048,0.020668
IND02392,2009-02-02,8.9,0.0276,0.168144,0.05167
IND02392,2009-03-02,8.9,0.0,0.14012,0.031002
IND02392,2009-04-01,8.4,0.0,0.14012,0.031002
IND02392,2009-05-01,8.8,0.0,0.14012,0.0
IND02392,2009-06-01,8.5,0.0,0.28024,0.0
IND02392,2009-07-01,8.7,0.0138,0.182156,0.020668
IND02392,2009-08-03,8.28,0.069,0.112096,0.031002
IND02392,2009-09-01,8.3,0.1242,0.14012,0.082672
IND02392,2009-10-05,8.3,0.0276,0.14012,0.062004
IND02392,2009-11-03,8.5,0.0552,0.434372,0.020668
IND02392,2009-12-01,8.6,0.0,0.126108,0.082672
IND02392,2010-01-01,8.2,0.0552,0.322276,0.05167
IND02392,2010-02-01,8.5,0.0,0.14012,0.020668
IND02392,2010-03-02,8.5,0.0,0.28024,0.062004
IND02392,2010-04-05,8.5,0.0,0.14012,0.062004
IND02392,2010-05-03,8.3,0.0,0.056048,0.031002
IND02392,2010-06-01,8.6,0.0,0.14012,0.031002
IND02392,2010-07-01,8.3,0.0,0.294252,0.0
IND02392,2010-08-02,8.65,0.0276,0.042036,0.031002
IND02392,2010-09-03,8.3,0.0276,0.644552,0.093006
IND02392,2010-10-04,8.6,0.0,1.12096,0.093006
IND02392,2010-11-01,8.6,0.0276,0.098084,0.093006
IND02392,2010-12-01,8.6,0.0069,0.392336,0.0031002
IND02392,2011-01-03,8.6,0.0,0.42036,0.010334
IND02392,2011-02-01,8.4,0.0138,0.28024,0.072338
IND02392,2011-03-01,8.5,0.0138,0.14012,0.020668
IND02392,2011-04-01,8.55,0.042,1.85,0.014
IND02392,2011-05-02,8.3,0.018,1.354,0.043
IND02392,2011-06-01,8.2,0.0,0.21,0.003
IND02392,2011-07-01,8.6,0.0,0.7,0.0
IND02392,2011-08-01,8.4,0.02622,1.21,0.007
IND02392,2011-09-02,8.2,0.08142,0.73,0.029
IND02392,2011-10-03,8.6,0.1,1.42,0.013
IND02392,2011-11-01,8.7,0.012,0.48,0.0
IND02392,2011-12-01,8.7,0.018,0.39,0.0
IND02392,2012-01-02,7.6,0.0,0.43,0.0
IND02392,2012-02-01,8.5,0.021,0.44,0.0
IND02392,2012-03-01,8.5,0.009,1.03,0.007
IND02392,2012-04-02,8.5,0.0,0.5,0.003
IND02392,2012-05-01,8.4,0.012,0.37,0.0
IND02392,2012-06-01,8.86,0.0,0.275,0.0
IND02392,2012-07-02,8.68,0.057,0.772,0.214
IND02392,2012-08-01,8.5,0.237,2.236,0.046
IND02392,2012-09-03,8.6,0.035,1.742,0.036
IND02392,2012-10-03,8.16,0.0,1.299,0.074
IND02392,2012-11-01,8.49,0.0,1.41,0.029
IND02392,2012-12-03,8.9,0.036,1.07,0.04
IND02392,2013-01-01,8.54,0.0,0.652,0.0
IND02392,2013-02-01,8.62,0.005,0.364,0.13
IND02392,2013-03-01,8.86,0.005,0.0,0.041
IND02392,2013-04-01,8.7,0.01,0.273,0.036
IND02392,2013-05-01,8.5,0.002,0.474,0.027
IND02392,2013-06-03,8.6,0.0,0.076,0.103
IND02392,2013-07-01,8.4,0.006,0.174,0.062
IND02392,2013-08-12,8.1,0.003,0.122,0.06
IND02392,2013-09-02,8.2,0.006,1.829,0.061
IND02392,2013-10-03,6.56,0.058,6.097,0.026
IND02392,2013-11-01,8.5,0.0,4.9,0.275
IND02392,2013-12-02,8.4,0.0,2.75,0.409
IND02392,2014-01-01,8.1,0.02,1.559,1.177
IND02392,2014-02-03,8.3,0.006,1.068,0.221
IND02392,2014-03-03,8.3,0.003,7.212,0.959
IND02392,2014-04-01,8.4,0.0167,1.2177,0.686
IND02392,2014-05-01,8.1,0.0,1.467,0.261
IND02392,2014-06-02,7.8,0.0,1.195,0.124
IND02392,2014-07-01,8.1,0.0,1.178,0.061
IND02392,2014-08-01,7.8,0.007,1.801,0.127
IND02392,2014-09-01,7.5,0.006,3.308,0.384
IND02392,2014-10-07,8.1,0.0,1.08,0.088
IND02392,2014-11-01,8.2,0.013,0.39,0.181
IND02392,2014-12-01,8.2,0.012,9.203,0.179
IND02392,2015-01-01,8.5,0.013,5.7,0.161
IND02392,2015-02-02,8.2,0.0,3.766,0.164
IND02392,2015-03-02,8.5,0.001,4.349,0.149
IND02392,2015-04-06,8.3,0.0,3.958,0.175
IND02392,2015-05-01,8.3,0.014,7.344,0.205
IND02392,2015-06-01,8.7,0.177,6.03,0.093
IND02392,2015-07-01,8.3,0.014,7.575,0.061
